MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,MoSold,SaleType,SalePrice,GarageAge,PropertyAge,RemodAge
Others,Others,1680.0,1,4,Others,LowerQuan,Norm,Norm,Others,1Story_2Story,6,5,Others,CompShg,Others,Others,Others,232.0,3,3,Others,3,3,1,5,387.0,1,0.0,96.0,GasA_GasW,3,1,SBrkr,483.0,504.0,0.0,0,0,1,1,2,3,4,Typ,0,0,Others,1,1,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0,7,Others,85400.0,37.0,37.0,0.0
60_20,FV_RL_RH,7488.0,1,3,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,7,5,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,0.0,4,3,PConc,4,3,3,6,393.0,1,0.0,815.0,GasA_GasW,5,1,SBrkr,1208.0,0.0,0.0,0,0,2,0,2,4,6,Typ,0,0,Attchd,2,2,3,3,1,105.0,58.0,0.0,0.0,0.0,0.0,0,2,Others,183600.0,1.0,1.0,0.0
Others,FV_RL_RH,26400.0,1,4,Others,Others,Others,Norm,1Fam_TwnhsE,1Story_2Story,5,7,Others,CompShg,Others,Others,Others,0.0,4,3,PConc,0,0,0,0,0.0,0,0.0,0.0,GasA_GasW,5,1,SBrkr,1288.0,728.0,0.0,0,0,1,0,4,3,7,Others,1,3,Attchd,1,2,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,Others,131000.0,109.0,129.0,127.0
Others,FV_RL_RH,2645.0,1,4,Others,UpperQuan,Norm,Norm,Others,1Story_2Story,8,5,Others,CompShg,Others,Others,Others,456.0,4,3,PConc,4,3,1,6,813.0,1,0.0,147.0,GasA_GasW,5,1,SBrkr,962.0,645.0,0.0,1,0,2,1,3,4,7,Typ,0,0,Others,1,2,3,3,1,169.0,0.0,0.0,0.0,0.0,0.0,0,12,Others,200000.0,8.0,9.0,1.0
60_20,FV_RL_RH,9627.0,1,4,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,7,5,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,0.0,4,3,PConc,4,3,3,6,24.0,1,0.0,1327.0,GasA_GasW,5,1,SBrkr,1361.0,0.0,0.0,0,0,2,0,3,4,6,Typ,0,0,Attchd,2,2,3,3,1,0.0,50.0,0.0,0.0,0.0,0.0,0,6,Others,193000.0,1.0,1.0,0.0
60_20,FV_RL_RH,10114.0,1,4,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,5,5,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,0.0,3,3,PConc,5,3,3,1,0.0,1,0.0,1430.0,GasA_GasW,5,1,SBrkr,1430.0,0.0,0.0,0,0,2,0,3,4,7,Typ,0,0,Attchd,2,2,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0,3,Others,173500.0,6.0,6.0,1.0
Others,Others,4571.0,1,4,Others,LowerQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,5,5,Others,CompShg,Others,Others,Others,0.0,3,3,Others,3,3,1,1,0.0,1,0.0,624.0,GasA_GasW,2,0,SBrkr,624.0,720.0,0.0,0,0,1,0,4,3,7,Typ,0,0,Others,1,3,2,2,1,0.0,0.0,96.0,0.0,0.0,0.0,0,5,Others,98000.0,92.0,92.0,34.0
60_20,FV_RL_RH,8816.0,1,4,Others,LowerQuan,Others,Norm,1Fam_TwnhsE,1Story_2Story,5,6,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,0.0,3,3,PConc,3,3,1,3,651.0,1,0.0,470.0,GasA_GasW,3,1,SBrkr,1121.0,0.0,0.0,1,0,1,0,3,3,5,Typ,0,0,Others,1,2,3,3,1,0.0,80.0,0.0,0.0,0.0,0.0,0,6,Others,139000.0,46.0,46.0,0.0
60_20,FV_RL_RH,8197.0,1,4,Others,LowerQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,6,5,Others,CompShg,Others,Others,Others,148.0,3,3,Others,3,3,1,1,0.0,1,0.0,660.0,GasA_GasW,5,1,SBrkr,1285.0,0.0,0.0,0,0,1,1,3,3,7,Typ,1,3,Attchd,2,2,3,3,1,138.0,0.0,0.0,0.0,0.0,0.0,0,4,Others,143500.0,30.0,30.0,0.0
60_20,FV_RL_RH,8640.0,1,4,Others,UpperQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,7,5,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,0.0,3,3,PConc,4,3,2,6,24.0,1,0.0,732.0,GasA_GasW,5,1,SBrkr,764.0,783.0,0.0,0,0,2,1,3,4,7,Typ,0,0,Attchd,1,2,3,3,1,169.0,45.0,0.0,0.0,0.0,0.0,0,6,Con,215200.0,1.0,1.0,0.0
60_20,FV_RL_RH,8724.0,1,4,Others,LowerQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,5,5,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,0.0,3,3,Others,4,3,1,4,492.0,1,0.0,402.0,GasA_GasW,4,1,SBrkr,894.0,0.0,0.0,0,0,1,0,3,3,5,Typ,1,1,Attchd,3,2,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0,5,Others,129000.0,39.0,39.0,0.0
120,FV_RL_RH,5664.0,1,3,Others,UpperQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,8,5,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,Others,Others,0.0,4,3,PConc,4,3,1,6,1158.0,1,0.0,343.0,GasA_GasW,5,1,SBrkr,1659.0,0.0,0.0,1,0,2,0,2,5,5,Typ,1,5,Attchd,3,2,3,3,1,212.0,59.0,0.0,0.0,0.0,0.0,0,10,Others,278000.0,9.0,9.0,0.0
60_20,FV_RL_RH,12867.0,1,3,Others,UpperQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,8,5,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,Others,Others,0.0,4,3,PConc,5,3,3,1,0.0,1,0.0,1209.0,GasA_GasW,5,1,SBrkr,1209.0,1044.0,0.0,0,0,2,1,3,5,8,Typ,1,4,Attchd,3,2,3,3,1,243.0,142.0,0.0,0.0,0.0,0.0,0,7,New,344133.0,1.0,1.0,1.0
60_20,FV_RL_RH,7980.0,1,3,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,6,7,Others,CompShg,Others,Others,Others,0.0,3,4,PConc,4,3,1,5,935.0,1,0.0,233.0,GasA_GasW,5,1,SBrkr,1187.0,0.0,0.0,1,0,2,0,3,3,6,Typ,0,0,Attchd,3,2,3,3,1,483.0,21.0,0.0,0.0,0.0,0.0,0,3,Others,185000.0,18.0,18.0,15.0
Others,FV_RL_RH,34650.0,1,4,Others,Others,Norm,Norm,Others,1Story_2Story,5,5,Hip,CompShg,Others,Others,Others,0.0,3,3,Others,3,3,2,3,1056.0,1,0.0,0.0,GasA_GasW,3,0,SBrkr,1056.0,0.0,0.0,1,0,1,0,3,3,5,Typ,0,0,Attchd,3,2,3,3,1,264.0,0.0,0.0,0.0,0.0,0.0,0,1,Others,145000.0,51.0,51.0,0.0
60_20,FV_RL_RH,10573.0,1,3,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,6,6,Hip,CompShg,Others,Others,Others,3.0,3,3,Others,3,3,1,3,1312.0,1,0.0,141.0,GasA_GasW,5,1,SBrkr,1453.0,0.0,0.0,1,0,2,0,3,3,6,Typ,1,3,Attchd,2,2,3,3,1,0.0,49.0,0.0,0.0,288.0,0.0,0,4,Others,187500.0,48.0,48.0,0.0
60_20,FV_RL_RH,8450.0,1,4,Others,LowerQuan,Others,Norm,1Fam_TwnhsE,1Story_2Story,5,8,Others,CompShg,Others,Others,Others,0.0,3,4,Others,3,3,1,6,553.0,4,117.0,224.0,GasA_GasW,5,1,SBrkr,894.0,0.0,0.0,1,0,1,0,3,3,5,Typ,1,4,Others,1,1,3,3,1,416.0,144.0,0.0,0.0,0.0,0.0,0,4,Others,138500.0,37.0,45.0,44.0
Others,FV_RL_RH,11700.0,1,3,HLS_Low,Others,Norm,Norm,1Fam_TwnhsE,Others,5,6,Others,CompShg,Others,Others,Others,0.0,3,3,Others,3,3,1,4,606.0,1,0.0,336.0,GasA_GasW,5,1,SBrkr,1265.0,673.0,0.0,0,0,2,0,4,4,7,Others,1,4,Others,1,1,3,3,1,0.0,40.0,0.0,0.0,0.0,0.0,0,7,Others,198000.0,71.0,71.0,58.0
Others,Others,8250.0,1,4,Others,LowerQuan,Others,Norm,Others,1Story_2Story,5,6,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,0.0,3,4,Others,3,3,1,1,0.0,1,0.0,957.0,GasA_GasW,2,0,SBrkr,1034.0,957.0,0.0,0,0,2,0,4,3,9,Typ,0,0,Others,0,0,0,0,0,0.0,0.0,133.0,0.0,0.0,0.0,0,6,Others,119600.0,0.0,112.0,111.0
Others,FV_RL_RH,8064.0,1,4,Others,Others,Others,Norm,1Fam_TwnhsE,Others,5,7,Others,CompShg,Others,Others,Others,0.0,3,4,Others,3,3,2,1,0.0,1,0.0,672.0,GasA_GasW,5,1,SBrkr,672.0,252.0,0.0,0,0,1,0,3,3,6,Typ,1,1,Others,1,2,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0,7,Others,122900.0,4.0,58.0,57.0
60_20,FV_RL_RH,9600.0,1,4,Others,Others,PosA_PosN_RRNn,Norm,1Fam_TwnhsE,1Story_2Story,8,5,Hip,WdShngl,Others,Others,Others,0.0,4,3,PConc,4,3,1,5,1104.0,1,0.0,1420.0,GasA_GasW,3,1,SBrkr,2524.0,0.0,0.0,1,0,2,1,4,4,9,Typ,1,4,Attchd,3,2,3,3,1,474.0,120.0,0.0,0.0,0.0,0.0,0,7,Others,278000.0,28.0,28.0,0.0
Others,FV_RL_RH,11435.0,1,3,HLS_Low,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,8,7,Others,CompShg,Others,Others,Others,0.0,3,3,PConc,4,3,1,1,0.0,1,0.0,792.0,GasA_GasW,2,1,SBrkr,792.0,725.0,0.0,0,0,1,0,3,4,7,Typ,2,4,Others,1,2,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0,6,Others,230000.0,75.0,77.0,21.0
120,FV_RL_RH,9549.0,1,3,Others,UpperQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,8,5,Hip,CompShg,Others,Others,Others,0.0,4,4,PConc,4,4,3,2,437.0,6,1057.0,0.0,GasA_GasW,5,1,SBrkr,1494.0,0.0,0.0,1,0,1,1,2,5,6,Typ,1,4,Attchd,3,2,3,3,1,0.0,30.0,0.0,0.0,216.0,0.0,0,4,Others,270000.0,11.0,11.0,1.0
60_20,FV_RL_RH,10950.0,1,4,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,6,6,Hip,CompShg,Others,Others,Others,0.0,3,3,Others,3,3,1,5,441.0,1,0.0,507.0,GasA_GasW,3,1,SBrkr,948.0,0.0,0.0,0,0,1,0,2,3,5,Typ,0,0,Others,1,2,3,3,0,0.0,48.0,0.0,0.0,0.0,0.0,0,4,Others,125000.0,55.0,55.0,0.0
60_20,FV_RL_RH,10637.0,1,4,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,8,5,Hip,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Stone,336.0,4,3,PConc,5,3,4,6,1288.0,1,0.0,417.0,GasA_GasW,5,1,SBrkr,1718.0,0.0,0.0,1,0,2,0,3,4,7,Typ,1,4,Attchd,2,3,3,3,1,208.0,44.0,0.0,0.0,0.0,0.0,0,9,Others,297000.0,2.0,2.0,1.0
60_20,FV_RL_RH,9000.0,1,3,HLS_Low,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,6,6,Others,Others,Others,Others,Others,82.0,3,3,Others,4,3,4,1,0.0,1,0.0,160.0,GasA_GasW,2,1,SBrkr,1142.0,0.0,0.0,0,0,1,0,2,3,5,Typ,1,4,Others,2,1,3,3,1,0.0,28.0,64.0,0.0,0.0,0.0,0,4,Others,113500.0,51.0,51.0,0.0
Others,Others,2665.0,1,4,Others,LowerQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,5,6,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,Others,Others,0.0,3,3,PConc,3,3,1,5,548.0,3,173.0,36.0,GasA_GasW,5,1,SBrkr,925.0,550.0,0.0,0,0,2,0,4,3,6,Typ,1,3,Attchd,2,1,3,3,1,104.0,26.0,0.0,0.0,0.0,0.0,0,7,Others,127000.0,29.0,29.0,0.0
60_20,FV_RL_RH,11751.0,1,3,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,6,6,Hip,CompShg,Others,Others,Others,480.0,3,3,Others,4,3,1,4,705.0,1,0.0,1139.0,GasA_GasW,5,1,SBrkr,1844.0,0.0,0.0,0,0,2,0,3,3,7,Typ,1,3,Attchd,2,2,3,3,1,0.0,122.0,0.0,0.0,0.0,0.0,0,1,Others,190000.0,33.0,33.0,0.0
60_20,FV_RL_RH,9600.0,1,4,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,7,6,Hip,CompShg,Others,Others,Others,320.0,3,3,Others,3,3,1,5,916.0,1,0.0,326.0,GasA_GasW,2,1,SBrkr,1242.0,0.0,0.0,0,0,1,1,3,3,6,Typ,1,3,Attchd,1,2,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0,9,Others,175500.0,34.0,34.0,0.0
60_20,FV_RL_RH,8428.0,1,2,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,5,7,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,0.0,3,4,PConc,4,4,1,6,420.0,1,0.0,570.0,GasA_GasW,5,1,SBrkr,990.0,0.0,0.0,1,0,1,0,3,3,5,Typ,0,0,Others,1,1,3,3,1,256.0,0.0,0.0,0.0,0.0,0.0,0,7,Others,146000.0,12.0,13.0,0.0
60_20,FV_RL_RH,9937.0,1,4,Others,LowerQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,5,6,Others,CompShg,Others,Others,Others,0.0,4,3,Others,3,3,1,4,830.0,2,290.0,136.0,GasA_GasW,4,1,SBrkr,1256.0,0.0,0.0,1,0,1,1,3,3,6,Typ,0,0,Attchd,3,1,3,3,1,736.0,68.0,0.0,0.0,0.0,0.0,0,6,Others,147500.0,43.0,43.0,0.0
60_20,FV_RL_RH,13891.0,1,4,Others,UpperQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,10,5,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,VinylSd_CemntBd_Stone_ImStucc,Others,0.0,5,3,PConc,5,4,4,6,1386.0,1,0.0,690.0,GasA_GasW,5,1,SBrkr,2076.0,0.0,0.0,1,0,2,1,2,5,7,Typ,1,4,Attchd,3,3,3,3,1,216.0,229.0,0.0,0.0,0.0,0.0,0,9,New,465000.0,0.0,0.0,0.0
Others,FV_RL_RH,9101.0,1,3,Others,Others,Norm,Norm,1Fam_TwnhsE,Others,5,6,Others,CompShg,Others,Others,Others,104.0,3,4,PConc,4,3,3,6,1097.0,1,0.0,0.0,GasA_GasW,5,1,SBrkr,1110.0,0.0,0.0,1,0,1,0,1,4,4,Typ,1,3,Attchd,3,2,3,3,1,303.0,30.0,0.0,0.0,0.0,0.0,0,7,Others,165500.0,31.0,31.0,0.0
Others,Others,12150.0,1,4,Others,LowerQuan,Norm,Norm,1Fam_TwnhsE,Others,5,5,Others,CompShg,Others,Others,Others,335.0,3,3,Others,3,3,1,1,0.0,1,0.0,1050.0,GasA_GasW,5,0,Others,1050.0,745.0,0.0,0,0,2,0,4,3,7,Typ,0,0,Attchd,1,1,2,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0,11,Others,131500.0,54.0,54.0,0.0
60_20,FV_RL_RH,11200.0,1,4,Others,LowerQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,5,5,Hip,CompShg,Others,Others,Others,0.0,3,3,Others,3,3,1,3,906.0,1,0.0,134.0,GasA_GasW,5,1,SBrkr,1040.0,0.0,0.0,1,0,1,0,3,3,5,Typ,0,0,Others,1,1,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0,2,Others,129500.0,43.0,43.0,0.0
Others,FV_RL_RH,9670.0,1,3,HLS_Low,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,8,6,Others,CompShg,Others,Others,Stone,40.0,3,3,PConc,3,2,1,2,210.0,1,0.0,398.0,GasA_GasW,3,1,SBrkr,983.0,890.0,0.0,0,0,1,1,4,3,9,Typ,2,4,Others,3,2,2,3,1,0.0,0.0,207.0,0.0,0.0,0.0,0,6,Others,257076.0,73.0,73.0,15.0
Others,FV_RL_RH,10998.0,1,4,Others,LowerQuan,Norm,Norm,1Fam_TwnhsE,Others,5,5,Others,CompShg,Others,Others,Others,0.0,3,3,Others,3,3,1,2,408.0,4,420.0,156.0,GasA_GasW,5,1,SBrkr,984.0,620.0,0.0,0,0,2,0,3,3,6,Others,0,0,Others,1,2,3,3,1,0.0,68.0,0.0,0.0,0.0,0.0,0,7,Others,117000.0,32.0,68.0,19.0
Others,FV_RL_RH,7200.0,1,4,HLS_Low,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,7,6,Others,CompShg,Others,Others,Others,0.0,3,2,Others,4,3,1,1,0.0,1,0.0,776.0,GasA_GasW,3,1,SBrkr,851.0,651.0,0.0,0,0,1,1,3,3,6,Typ,1,4,Attchd,2,1,3,3,0,0.0,0.0,112.0,0.0,0.0,0.0,0,2,Others,149000.0,77.0,77.0,69.0
60_20,FV_RL_RH,9920.0,1,4,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,5,5,Others,CompShg,Others,Others,Stone,110.0,3,3,Others,3,3,1,3,354.0,2,290.0,412.0,GasA_GasW,3,1,SBrkr,1063.0,0.0,0.0,1,0,1,0,3,3,6,Typ,0,0,Attchd,2,1,3,3,1,0.0,0.0,164.0,0.0,0.0,0.0,0,2,Others,128000.0,56.0,56.0,0.0
Others,FV_RL_RH,2448.0,1,4,Others,UpperQuan,Norm,Norm,Others,1Story_2Story,7,5,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,Others,Stone,106.0,4,3,PConc,4,3,1,1,0.0,1,0.0,764.0,GasA_GasW,5,1,SBrkr,764.0,862.0,0.0,0,0,2,1,2,4,6,Typ,0,0,BuiltIn,2,2,3,3,1,0.0,27.0,0.0,0.0,0.0,0.0,0,10,Others,155000.0,5.0,5.0,1.0
Others,FV_RL_RH,2998.0,1,4,Others,UpperQuan,Norm,Norm,1Fam_TwnhsE,1Story_2Story,6,5,Others,CompShg,Others,Others,Others,513.0,4,3,PConc,4,3,1,6,353.0,1,0.0,403.0,GasA_GasW,5,1,SBrkr,768.0,756.0,0.0,0,0,2,1,2,4,4,Typ,0,0,Others,1,2,3,3,1,0.0,32.0,0.0,0.0,0.0,0.0,0,6,Others,166000.0,6.0,6.0,0.0
Others,FV_RL_RH,7804.0,1,4,Others,Others,Norm,Norm,1Fam_TwnhsE,Others,4,3,Others,CompShg,Others,Others,Others,0.0,3,3,Others,3,3,1,4,622.0,1,0.0,500.0,GasA_GasW,3,1,SBrkr,1328.0,653.0,0.0,1,0,2,0,4,4,7,Others,2,3,Others,1,2,3,3,1,431.0,44.0,0.0,0.0,0.0,0.0,0,12,Others,135000.0,28.0,81.0,22.0
60_20,FV_RL_RH,16692.0,1,3,Others,Others,Others,Norm,1Fam_TwnhsE,1Story_2Story,7,5,Others,CompShg,Others,Others,Others,184.0,3,3,Others,4,3,1,4,790.0,2,469.0,133.0,GasA_GasW,3,1,SBrkr,1392.0,1392.0,0.0,1,0,3,1,5,4,12,Typ,2,3,Attchd,2,2,3,3,1,0.0,112.0,0.0,0.0,440.0,519.0,2,7,Others,250000.0,28.0,28.0,0.0
Others,Others,1476.0,1,4,Others,LowerQuan,Norm,Norm,Others,1Story_2Story,4,7,Others,CompShg,VinylSd_CemntBd_Stone_ImStucc,Others,Others,0.0,3,3,Others,3,3,1,6,176.0,1,0.0,370.0,GasA_GasW,5,1,SBrkr,546.0,546.0,0.0,0,0,1,1,3,3,5,Typ,0,0,Others,0,0,0,0,1,200.0,26.0,0.0,0.0,0.0,0.0,0,3,Others,76000.0,0.0,40.0,0.0
60_20,FV_RL_RH,10170.0,1,4,Others,Others,Norm,Norm,1Fam_TwnhsE,1Story_2Story,6,6,Hip,CompShg,Others,Others,Others,522.0,3,3,Others,3,3,1,1,0.0,1,0.0,216.0,GasA_GasW,3,1,SBrkr,1575.0,0.0,0.0,0,0,1,1,2,4,5,Typ,1,4,Attchd,1,2,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0,6,Others,155000.0,55.0,55.0,0.0
